label,Label,Deposit,SiO2,TiO2,Al2O3,TFe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Y,Zr,Nb,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,U
1,Cu-rich PCDs,El Abra Cu-Mo,66.45,0.44,17.08,3.28,0.04,1.16,4.06,4.71,2.61,0.18,66.0,823.0,7.1,116.0,5.9,855.0,16.7,33.4,3.82,14.8,2.88,0.799,1.89,0.27,1.36,0.25,0.77,0.115,0.73,0.12,3.0,0.57,5.97,2.51
0,Au-rich PCDs,Atlas Cu-Au,57.88,0.43,16.56,8.92,0.1,3.27,4.96,4.31,0.63,0.19,8.4,605.0,10.7,98.0,2.6,248.0,12.2,25.2,2.87,11.2,2.29,0.77,2.0,0.3,1.7,0.36,1.13,0.17,1.22,0.21,2.6,0.2,3.06,0.34
1,Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,63.46,0.23,16.03,3.12,0.04,0.58,2.59,5.34,2.7,0.14,47.0,160.0,11.0,86.23,5.23,856.0,14.44,35.52,3.32,11.88,2.06,0.65,1.37,0.25,1.61,0.38,1.19,0.22,1.48,0.23,2.57,0.29,4.58,9.78
0,Au-rich PCDs,Nurkazghan Cu-Au,64.67,0.4,15.83,4.81,0.05,1.27,1.94,3.55,4.4,0.18,116.0,429.0,18.4,106.0,7.97,712.0,16.9,38.7,4.06,18.9,3.72,1.18,3.53,0.57,3.33,0.64,1.9,0.3,2.08,0.32,3.55,0.47,6.52,2.37
1,Cu-rich PCDs,Quellaveco Cu-Mo,67.81,0.32,16.39,2.81,0.04,1.01,2.98,3.99,3.14,0.14,75.7,635.6,5.8,94.5,3.4,817.0,15.2,28.6,3.21,12.4,1.97,0.6,1.51,0.2,1.07,0.18,0.57,0.08,0.55,0.1,2.7,0.2,3.5,1.0
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,69.2,0.3,15.9,2.8,0.1,0.8,3.3,4.6,2.2,0.1,44.3,597.1,6.4,73.6,2.2,1108.0,11.7,19.7,2.5,9.7,1.7,0.5,1.3,0.2,1.3,0.2,0.5,0.1,0.6,0.1,2.0,0.2,2.2,1.2
1,Cu-rich PCDs,Xiaokelehe Cu-Mo,66.8,0.54,15.47,2.9,0.06,1.17,2.94,4.66,3.26,0.2,63.4,1060.0,6.6,184.0,6.1,937.0,29.9,58.3,6.59,24.3,3.84,0.96,2.43,0.29,1.48,0.25,0.59,0.08,0.49,0.07,4.5,0.28,3.97,1.15
1,Cu-rich PCDs,Quellaveco Cu-Mo,63.65,0.42,17.07,3.36,0.04,1.39,1.74,2.75,5.49,0.17,125.3,706.9,7.2,107.4,4.6,1481.0,18.3,36.7,4.33,16.6,2.75,0.7,2.1,0.26,1.3,0.23,0.68,0.1,0.74,0.11,3.0,0.3,3.2,2.4
0,Au-rich PCDs,Pulang Cu-Au,59.8,0.69,14.45,7.41,0.03,3.67,2.54,2.84,5.48,0.41,234.0,690.0,17.2,141.0,12.2,1980.0,39.1,73.8,8.41,30.9,5.52,1.72,4.71,0.72,3.21,0.61,1.68,0.23,1.42,0.23,3.62,0.81,14.7,3.81
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,65.72,0.36,17.34,3.4,0.07,1.17,4.63,4.89,1.57,0.15,25.3,810.6,6.5,62.9,1.3,805.0,9.1,17.8,2.27,8.6,1.66,0.54,1.6,0.21,1.13,0.22,0.56,0.1,0.58,0.1,2.3,0.1,1.1,0.6
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.7,0.28,16.29,2.69,0.05,0.84,3.66,4.68,1.88,0.1,29.4,651.0,5.3,68.4,1.6,915.0,8.8,16.8,1.94,7.2,1.51,0.4,1.21,0.16,0.76,0.23,0.46,0.07,0.54,0.08,2.0,0.1,1.5,0.8
1,Cu-rich PCDs,Baogutu Cu-Mo,56.4,0.81,16.8,6.94,0.09,5.18,7.09,3.81,1.34,0.12,57.0,564.0,18.3,78.8,2.31,409.0,11.3,24.8,3.36,16.3,3.47,1.03,3.39,0.64,3.37,0.68,1.95,0.27,1.76,0.27,2.4,0.15,1.99,0.56
1,Cu-rich PCDs,Shujiadian Cu,60.9,0.6,17.3,5.2,1e-10,1.7,4.2,4.8,2.3,0.2,67.7,905.0,9.7,25.4,10.3,806.0,23.3,47.1,5.7,22.0,4.0,1.4,3.4,0.4,2.2,0.4,0.9,0.1,0.8,0.1,0.9,0.7,3.7,1.2
1,Cu-rich PCDs,Baogutu Cu-Mo,55.68,0.88,16.92,7.21,0.09,5.01,7.07,3.87,1.4,0.2,40.01,722.0,13.3,57.85,2.76,411.8,10.06,21.25,3.18,13.15,3.15,0.98,2.71,0.41,2.42,0.49,1.35,0.2,1.29,0.19,1.7,0.16,1.22,0.56
1,Cu-rich PCDs,Aktogai Cu,65.07,0.57,16.51,4.24,0.02,1.58,2.91,4.38,2.86,0.24,62.28,922.9,8.25,101.9,3.82,876.2,21.16,41.32,5.47,20.13,3.62,0.87,2.51,0.31,1.55,0.29,0.75,0.11,0.71,0.11,3.09,0.22,4.99,3.45
1,Cu-rich PCDs,Erdenet Cu-Mo,64.6,0.54,15.6,5.61,0.05,1.16,2.11,5.0,2.11,0.19,45.0,980.0,5.0,112.0,5.62,1051.0,14.7,30.0,3.26,15.7,3.4,0.84,1.9,0.28,0.9,0.14,0.4,0.05,0.55,0.09,3.3,0.2,2.8,1.3
1,Cu-rich PCDs,Baogutu Cu-Mo,64.09,0.53,15.67,4.29,0.06,2.98,4.54,4.23,1.77,0.13,25.52,636.1,8.73,90.96,2.46,573.7,10.67,20.56,2.76,10.5,2.16,0.71,1.86,0.28,1.6,0.31,0.86,0.12,0.82,0.12,2.72,0.19,2.89,1.06
